name,brief_description,full_description,price_range,categories,occasions,recipient_types,purchase_url,has_affiliate_commission,popularity_score
Leather Journal,"Hand-crafted leather journal for notes and sketches","A beautiful hand-crafted leather journal with 200 pages of acid-free paper. Perfect for writers, artists, or anyone who appreciates fine craftsmanship. Features a wrap-around cover with a leather cord closure.",moderate,"stationery,handmade","birthday,graduation,christmas","writers,artists,professionals",https://example.com/leather-journal,true,0.85
Woodworking Kit,"Beginner woodworking tool set with quality tools","Complete starter kit for woodworking enthusiasts. Includes chisels, mallet, marking gauge, and instructional guide. Made with quality hardwood handles and steel blades.",premium,"tools,crafts,DIY","birthday,father's day,retirement","hobbyists,DIY enthusiasts,dads",https://example.com/woodworking-kit,true,0.82
Vinyl Record Player,"Retro-style turntable with modern features","Classic vinyl record player combining vintage aesthetics with modern technology. Features built-in speakers, Bluetooth connectivity, and USB recording capability. Plays 33, 45, and 78 RPM records.",premium,"electronics,music,retro","birthday,christmas,housewarming","music lovers,audiophiles,collectors",https://example.com/vinyl-player,false,0.78
Gourmet Coffee Subscription,"Monthly delivery of artisan coffee beans","Premium coffee subscription featuring single-origin beans from around the world. Each month receive 12oz of freshly roasted coffee with tasting notes and brewing tips. Choose from light, medium, or dark roasts.",moderate,"food,subscription,coffee","birthday,thank you,just because","coffee lovers,foodies,remote workers",https://example.com/coffee-subscription,true,0.88
Indoor Herb Garden Kit,"Grow fresh herbs year-round with LED lighting","Self-watering indoor garden with LED grow lights. Includes seeds for basil, mint, parsley, and cilantro. Perfect for small spaces - fits on any countertop. Grows herbs 5x faster than soil.",moderate,"gardening,kitchen,home","housewarming,mother's day,birthday","home cooks,plant lovers,apartment dwellers",https://example.com/herb-garden,true,0.75
Wireless Noise-Canceling Headphones,"Premium over-ear headphones with 30-hour battery","High-fidelity wireless headphones with active noise cancellation. Features 30-hour battery life, comfortable memory foam ear cups, and multipoint Bluetooth connection for seamless device switching.",luxury,"electronics,audio,travel","birthday,christmas,graduation","audiophiles,travelers,remote workers",https://example.com/headphones,true,0.92
Artisan Chocolate Box,"Hand-crafted truffles from master chocolatiers","Exquisite collection of 24 hand-crafted chocolate truffles. Flavors include dark chocolate sea salt, champagne, raspberry, and espresso. Beautifully packaged in a keepsake wooden box.",moderate,"food,chocolate,luxury","valentine's day,anniversary,thank you","chocolate lovers,foodies,romantics",https://example.com/chocolates,true,0.80
Portable Espresso Maker,"Brew barista-quality espresso anywhere","Compact manual espresso maker that works without electricity. Perfect for camping, travel, or office use. Compatible with ground coffee and Nespresso pods. Produces 15-18 bars of pressure.",moderate,"coffee,travel,gadgets","birthday,father's day,christmas","coffee lovers,travelers,outdoor enthusiasts",https://example.com/espresso-maker,true,0.76
Cashmere Scarf,"Luxuriously soft 100% cashmere scarf","Premium cashmere scarf in classic herringbone pattern. Incredibly soft and warm, yet lightweight. Measures 70x12 inches. Available in multiple colors. Ethically sourced from Mongolia.",luxury,"fashion,accessories,winter","christmas,birthday,anniversary","fashion lovers,professionals,anyone who gets cold",https://example.com/cashmere-scarf,false,0.70
Smart Indoor Garden,"Automated hydroponic growing system","Advanced hydroponic garden with app-controlled lighting and watering. Grows up to 12 plants simultaneously. Includes seed pods for tomatoes, lettuce, and herbs. Perfect for year-round gardening.",premium,"gardening,technology,home","housewarming,birthday,christmas","tech enthusiasts,home cooks,plant lovers",https://example.com/smart-garden,true,0.83
